Test Case #,Status,Timestamp,Response Time (seconds)
Test Case 1,<Response [200]>,2024-10-24 11:34:05,0.02866196632385254
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.024257898330688477
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02733898162841797
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.023463010787963867
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.024910688400268555
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02362799644470215
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.024747848510742188
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02827310562133789
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02656078338623047
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.026936054229736328
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02946019172668457
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.028779029846191406
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02838921546936035
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.03008413314819336
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.027804851531982422
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02657318115234375
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.029593229293823242
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02870488166809082
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.028493881225585938
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.0286257266998291
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.028886079788208008
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.029162883758544922
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.029922962188720703
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.030029773712158203
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.030378103256225586
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.027846097946166992
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.028660297393798828
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.027750253677368164
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.03248715400695801
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.03152894973754883
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.030092954635620117
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02996683120727539
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02972579002380371
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.030791044235229492
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.029536008834838867
Test Case 1,<Response [200]>,2024-10-24 11:34:06,0.02634906768798828
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.02907395362854004
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.028450965881347656
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.027723073959350586
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.029343128204345703
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.03038311004638672
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.03770303726196289
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.04253077507019043
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.030285120010375977
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.035825252532958984
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.03435397148132324
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.030744075775146484
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.0342869758605957
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.03307795524597168
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.033505916595458984
Test Case 1,<Response [200]>,2024-10-24 11:34:07,0.034707069396972656
